 , , , , , , , Efficiency Measurement - Block_Size = Size ; Block_count = Count , , , , , , , 
 , Available (AU) , , , ,Request Size (AU) , , , , Packing Efficiency (%) , , , , Fragmentation (Blocks) , , , , Total Allocs (AU) , 
 BUDDY , BUTTER LINEAR , BUTTER TREE , COMPACT , , BUDDY , BUTTER LINEAR , BUTTER TREE , COMPACT , , BUDDY , BUTTER LINEAR , BUTTER TREE , COMPACT , , BUDDY , BUTTER LINEAR , BUTTER TREE , COMPACT , , BUDDY , BUTTER LINEAR , BUTTER TREE , COMPACT , 
6,1,1,1, ,5,3,3,3, ,0.25,0.875,0.875,0.875, ,1,1,1,0, ,2,7,7,0, 
3,0,0,0, ,3,6,6,6, ,0.625,1.0,1.0,1.0, ,1,0,0,0, ,5,8,8,0, 
1,1,1,1, ,2,2,2,2, ,0.875,0.875,0.875,0.875, ,1,1,1,0, ,7,7,7,0, 
5,0,0,0, ,5,2,2,2, ,0.375,1.0,1.0,1.0, ,1,0,0,0, ,3,8,8,0, 
3,3,3,3, ,4,4,4,4, ,0.625,0.625,0.625,0.625, ,1,1,1,0, ,5,5,5,0, 
2,2,2,2, ,4,4,4,4, ,0.75,0.75,0.75,0.75, ,1,1,1,0, ,6,6,6,0, 
3,3,3,3, ,7,7,7,7, ,0.625,0.625,0.625,0.625, ,1,1,1,0, ,5,5,5,0, 
3,3,3,3, ,5,5,5,5, ,0.625,0.625,0.625,0.625, ,1,1,1,0, ,5,5,5,0, 
0,0,0,0, ,7,7,7,7, ,1.0,1.0,1.0,1.0, ,0,0,0,0, ,8,8,8,0, 
3,3,3,3, ,6,6,6,6, ,0.625,0.625,0.625,0.625, ,1,1,1,0, ,5,5,5,0, 
 , , , , , , , , , , , , , , , , , , , 
2.3,1.5,1.5,1.5, ,4.3,4.3,4.3,4.3, ,0.6125,0.7125,0.7125,0.7125, ,0.8,0.6,0.6,0.0, 
