 , , , , , , , Efficiency Measurement - Block_Size = Size ; Block_count = Count , , , , , , , 
 , Available (AU) , , , ,Request Size (AU) , , , , Packing Efficiency (%) , , , , Fragmentation (Blocks) , , , , Total Allocs (AU) , 
 BUDDY , BUTTER LINEAR , BUTTER TREE , COMPACT , , BUDDY , BUTTER LINEAR , BUTTER TREE , COMPACT , , BUDDY , BUTTER LINEAR , BUTTER TREE , COMPACT , , BUDDY , BUTTER LINEAR , BUTTER TREE , COMPACT , , BUDDY , BUTTER LINEAR , BUTTER TREE , COMPACT , 
3,3,3,3, ,7,7,7,7, ,0.8125,0.8125,0.8125,0.8125, ,2,2,2,0, ,13,13,13,0, 
2,2,2,2, ,7,7,7,7, ,0.875,0.875,0.875,0.875, ,2,2,2,0, ,14,14,14,0, 
8,4,4,4, ,6,6,6,6, ,0.5,0.75,0.75,0.75, ,2,2,2,0, ,8,14,14,0, 
6,6,6,6, ,14,14,14,14, ,0.625,0.625,0.625,0.625, ,2,2,2,0, ,10,10,10,0, 
3,3,3,3, ,7,7,7,7, ,0.8125,0.8125,0.8125,0.8125, ,2,2,2,0, ,13,13,13,0, 
7,0,0,0, ,7,3,3,3, ,0.5625,1.0,1.0,1.0, ,2,0,0,0, ,17,24,24,0, 
4,4,4,4, ,7,7,7,7, ,0.75,0.75,0.75,0.75, ,3,2,2,0, ,12,12,12,0, 
3,3,3,3, ,7,7,7,7, ,0.8125,0.8125,0.8125,0.8125, ,1,1,1,0, ,13,13,13,0, 
3,3,3,3, ,13,13,13,13, ,0.8125,0.8125,0.8125,0.8125, ,1,1,1,0, ,13,13,13,0, 
3,0,0,0, ,3,7,7,7, ,0.8125,1.0,1.0,1.0, ,2,0,0,0, ,13,16,16,0, 
 , , , , , , , , , , , , , , , , , , , 
3.9,2.5,2.5,2.5, ,7.1,7.1,7.1,7.1, ,0.65625,0.74375,0.74375,0.74375, ,1.7,1.2,1.2,0.0, 
