 , , , , , , , Efficiency Measurement - Block_Size = Size ; Block_count = Count , , , , , , , 
 , Available (AU) , , , ,Request Size (AU) , , , , Packing Efficiency (%) , , , , Fragmentation (Blocks) , , , , Total Allocs (AU) , 
 BUDDY , BUTTER LINEAR , BUTTER TREE , COMPACT , , BUDDY , BUTTER LINEAR , BUTTER TREE , COMPACT , , BUDDY , BUTTER LINEAR , BUTTER TREE , COMPACT , , BUDDY , BUTTER LINEAR , BUTTER TREE , COMPACT , , BUDDY , BUTTER LINEAR , BUTTER TREE , COMPACT , 
106,11,11,11, ,75,64,64,64, ,0.171875,0.9140625,0.9140625,0.9140625, ,1,1,1,0, ,22,117,117,0, 
104,12,12,12, ,72,26,26,26, ,0.1875,0.90625,0.90625,0.90625, ,2,2,2,0, ,24,119,119,0, 
36,11,11,11, ,25,24,24,24, ,0.71875,0.9140625,0.9140625,0.9140625, ,2,1,1,0, ,92,117,117,0, 
65,65,65,65, ,71,71,71,71, ,0.4921875,0.4921875,0.4921875,0.4921875, ,3,2,2,0, ,68,68,68,0, 
82,7,7,7, ,75,20,20,20, ,0.359375,0.9453125,0.9453125,0.9453125, ,2,1,1,0, ,53,128,128,0, 
27,7,7,7, ,20,26,26,26, ,0.7890625,0.9453125,0.9453125,0.9453125, ,4,1,1,0, ,101,121,121,0, 
104,19,19,19, ,65,71,71,71, ,0.1875,0.8515625,0.8515625,0.8515625, ,2,2,2,0, ,24,112,112,0, 
31,11,11,11, ,20,23,23,23, ,0.7578125,0.9140625,0.9140625,0.9140625, ,4,1,1,0, ,107,127,127,0, 
36,9,9,9, ,26,26,26,26, ,0.71875,0.9296875,0.9296875,0.9296875, ,5,1,1,0, ,92,121,121,0, 
37,37,37,37, ,71,71,71,71, ,0.7109375,0.7109375,0.7109375,0.7109375, ,4,2,2,0, ,96,96,96,0, 
 , , , , , , , , , , , , , , , , , , , 
52.2,17.8,17.8,17.8, ,44.5,35.8,35.8,35.8, ,0.4921875,0.7609375,0.7609375,0.7609375, ,2.8,1.3,1.3,0.0, 
