 , , , , , , , Efficiency Measurement - Block_Size = Size ; Block_count = Count , , , , , , , 
 , Available (AU) , , , ,Request Size (AU) , , , , Packing Efficiency (%) , , , , Fragmentation (Blocks) , , , , Total Allocs (AU) , 
 BUDDY , BUTTER LINEAR , BUTTER TREE , , BUDDY , BUTTER LINEAR , BUTTER TREE , , BUDDY , BUTTER LINEAR , BUTTER TREE , , BUDDY , BUTTER LINEAR , BUTTER TREE , , BUDDY , BUTTER LINEAR , BUTTER TREE , 
58,123,10, ,33,17,11, ,0.546875,0.0390625,0.921875, ,4,1,2, ,80,5,146, 
42,128,20, ,19,35,22, ,0.671875,0.0,0.84375, ,4,0,4, ,86,0,108, 
33,125,10, ,23,35,18, ,0.7421875,0.0234375,0.921875, ,5,1,4, ,106,3,129, 
62,99,0, ,19,33,10, ,0.515625,0.2265625,1.0, ,4,2,0, ,74,29,140, 
53,119,3, ,20,18,27, ,0.5859375,0.0703125,0.9765625, ,6,2,2, ,84,9,143, 
46,128,8, ,19,22,28, ,0.640625,0.0,0.9375, ,3,0,3, ,107,0,169, 
73,107,5, ,33,23,25, ,0.4296875,0.1640625,0.9609375, ,3,2,2, ,69,26,141, 
25,128,16, ,19,25,21, ,0.8046875,0.0,0.875, ,6,0,3, ,103,0,211, 
29,80,2, ,16,34,12, ,0.7734375,0.375,0.984375, ,4,4,1, ,109,55,136, 
40,128,26, ,13,35,31, ,0.6875,0.0,0.796875, ,5,0,3, ,88,0,104, 
 , , , , , , , , , , , , , , 
46.1,116.5,10.0, ,21.4,27.7,20.5, ,0.63984375,0.08984375,0.921875, ,4.4,1.2,2.4
