 , , , , , , , Efficiency Measurement - Block_Size = Size ; Block_count = Count , , , , , , , 
 , Available (AU) , , , ,Request Size (AU) , , , , Packing Efficiency (%) , , , , Fragmentation (Blocks) , , , , Total Allocs (AU) , 
 BUDDY , BUTTER LINEAR , BUTTER TREE , , BUDDY , BUTTER LINEAR , BUTTER TREE , , BUDDY , BUTTER LINEAR , BUTTER TREE , , BUDDY , BUTTER LINEAR , BUTTER TREE , , BUDDY , BUTTER LINEAR , BUTTER TREE , 
56,33,0, ,23,33,32, ,0.5625,0.7421875,1.0, ,4,4,0, ,75,98,131, 
49,49,13, ,17,17,30, ,0.6171875,0.6171875,0.8984375, ,6,5,2, ,91,91,197, 
38,128,5, ,20,34,11, ,0.703125,0.0,0.9609375, ,3,0,1, ,90,0,123, 
56,27,27, ,17,35,35, ,0.5625,0.7890625,0.7890625, ,5,3,3, ,87,119,119, 
35,35,13, ,24,24,33, ,0.7265625,0.7265625,0.8984375, ,6,4,4, ,105,105,172, 
51,21,10, ,24,12,14, ,0.6015625,0.8359375,0.921875, ,5,4,3, ,86,121,155, 
36,36,1, ,25,25,13, ,0.71875,0.71875,0.9921875, ,4,4,1, ,106,106,141, 
46,128,16, ,28,33,20, ,0.640625,0.0,0.875, ,4,0,3, ,95,0,125, 
48,83,14, ,20,35,20, ,0.625,0.3515625,0.890625, ,2,1,2, ,80,45,114, 
33,15,4, ,22,11,18, ,0.7421875,0.8828125,0.96875, ,4,3,1, ,95,117,128, 
 , , , , , , , , , , , , , , 
44.8,55.5,10.3, ,22.0,25.9,22.6, ,0.65,0.56640625,0.91953125, ,4.3,2.8,2.0
