 , , , , , , , Efficiency Measurement - Block_Size = Size ; Block_count = Count , , , , , , , 
 , Available (AU) , , , ,Request Size (AU) , , , , Packing Efficiency (%) , , , , Fragmentation (Blocks) , , , , Total Allocs (AU) , 
 BUDDY , BUTTER LINEAR , BUTTER TREE , COMPACT , , BUDDY , BUTTER LINEAR , BUTTER TREE , COMPACT , , BUDDY , BUTTER LINEAR , BUTTER TREE , COMPACT , , BUDDY , BUTTER LINEAR , BUTTER TREE , COMPACT , , BUDDY , BUTTER LINEAR , BUTTER TREE , COMPACT , 
18,18,18,18, ,35,35,35,35, ,0.71875,0.71875,0.71875,0.71875, ,2,2,2,0, ,46,46,46,0, 
39,16,16,16, ,23,35,35,35, ,0.390625,0.75,0.75,0.75, ,2,2,2,0, ,30,56,56,0, 
15,15,15,15, ,21,21,21,21, ,0.765625,0.765625,0.765625,0.765625, ,2,2,2,0, ,49,49,49,0, 
62,4,4,4, ,33,20,20,20, ,0.03125,0.9375,0.9375,0.9375, ,1,1,1,0, ,2,60,60,0, 
38,8,8,8, ,33,21,21,21, ,0.40625,0.875,0.875,0.875, ,3,2,2,0, ,26,59,59,0, 
15,15,15,15, ,24,24,24,24, ,0.765625,0.765625,0.765625,0.765625, ,2,2,2,0, ,49,49,49,0, 
42,17,17,17, ,25,22,22,22, ,0.34375,0.734375,0.734375,0.734375, ,2,2,2,0, ,29,54,54,0, 
17,17,17,17, ,34,34,34,34, ,0.734375,0.734375,0.734375,0.734375, ,3,2,2,0, ,49,49,49,0, 
26,6,6,6, ,22,22,22,22, ,0.59375,0.90625,0.90625,0.90625, ,1,1,1,0, ,38,62,62,0, 
39,14,14,14, ,25,22,22,22, ,0.390625,0.78125,0.78125,0.78125, ,2,2,2,0, ,28,56,56,0, 
 , , , , , , , , , , , , , , , , , , , 
29.3,11.2,11.2,11.2, ,24.0,22.1,22.1,22.1, ,0.4421875,0.725,0.725,0.725, ,1.8,1.6,1.6,0.0, 
